id,regionname,countryname,prodline,lendinginstr,lendinginstrtype,envassesmentcategorycode,supplementprojectflg,productlinetype,projectstatusdisplay,status,project_name,boardapprovaldate,board_approval_month,closingdate,lendprojectcost,ibrdcommamt,idacommamt,totalamt,grantamt,borrower,impagency,url,projectdoc ,majorsector_percent ,sector1,sector2,sector3,sector4,sector5,sector,mjsector1,mjsector2,mjsector3,mjsector4,mjsector5,mjsector,theme1,theme2,theme3,theme4,theme5,theme ,goal,financier,mjtheme1name,mjtheme2name,mjtheme3name,mjtheme4name,mjtheme5name,location
P037383,EUROPE AND CENTRAL ASIA,French Republic;French Republic,PE,Structural Adjustment Loan,AD,,N,L,Closed,Closed,Reconstruction Project,1947-05-09T00:00:00Z,May,1947-12-31T00:00:00Z,250;000;000,250;000;000,0,250;000;000,0,,,http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P037383,,,(Historic)Economic management!$!100!$!ME,,,,,(Historic)Economic management;(Historic)Economic management,(Historic)Multisector!$!MX,,,,,(Historic)Multisector;(Historic)Multisector,!$!0,,,,,,,,,,,,,
P037452,EUROPE AND CENTRAL ASIA,Kingdom of the Netherlands;Kingdom of the Netherlands,PE,Structural Adjustment Loan,AD,,N,L,Closed,Closed,Post-war Reconstruction Project,1947-08-07T00:00:00Z,August,1948-06-30T00:00:00Z,195;000;000,195;000;000,0,195;000;000,0,,,http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P037452,,,(Historic)Economic management!$!100!$!ME,,,,,(Historic)Economic management;(Historic)Economic management,(Historic)Multisector!$!MX,,,,,(Historic)Multisector;(Historic)Multisector,!$!0,,,,,,,,,,,,,
P037362,EUROPE AND CENTRAL ASIA,Kingdom of Denmark;Kingdom of Denmark,PE,Structural Adjustment Loan,AD,,N,L,Closed,Closed,Post War Reconstruction Project,1947-08-22T00:00:00Z,August,1949-03-31T00:00:00Z,40;000;000,40;000;000,0,40;000;000,0,,,http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P037362,,,(Historic)Economic management!$!100!$!ME,,,,,(Historic)Economic management;(Historic)Economic management,(Historic)Multisector!$!MX,,,,,(Historic)Multisector;(Historic)Multisector,!$!0,,,,,,,,,,,,,
P037451,EUROPE AND CENTRAL ASIA,Grand Duchy of Luxembourg;Grand Duchy of Luxembourg,PE,Structural Adjustment Loan,AD,,N,L,Closed,Closed,Steel Mill and Railway Project,1947-08-28T00:00:00Z,August,1949-03-31T00:00:00Z,12;000;000,12;000;000,0,12;000;000,0,,,http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P037451,,,(Historic)Economic management!$!100!$!ME,,,,,(Historic)Economic management;(Historic)Economic management,(Historic)Multisector!$!MX,,,,,(Historic)Multisector;(Historic)Multisector,!$!0,,,,,,,,,,,,,
P037453,EUROPE AND CENTRAL ASIA,Kingdom of the Netherlands;Kingdom of the Netherlands,PE,Sector Investment and Maintenance Loan,IN,,N,L,Closed,Closed,Netherland Line Project,1948-07-01T00:00:00Z,July,1948-08-03T00:00:00Z,4;000;000,4;000;000,0,4;000;000,0,,,http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P037453,,,(Historic)Transportation adjustment!$!100!$!TT,,,,,(Historic)Transportation adjustment;(Historic)Transportation adjustment,Transportation!$!TX,,,,,Transportation;Transportation,!$!0,,,,,,,,,,,,,
P037454,EUROPE AND CENTRAL ASIA,Kingdom of the Netherlands;Kingdom of the Netherlands,PE,Sector Investment and Maintenance Loan,IN,,N,L,Closed,Closed,United Netherlands Navigation Project,1948-07-01T00:00:00Z,July,1948-08-03T00:00:00Z,2;000;000,2;000;000,0,2;000;000,0,,,http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P037454,,,(Historic)Transportation adjustment!$!100!$!TT,,,,,(Historic)Transportation adjustment;(Historic)Transportation adjustment,Transportation!$!TX,,,,,Transportation;Transportation,!$!0,,,,,,,,,,,,,
P037455,EUROPE AND CENTRAL ASIA,Kingdom of the Netherlands;Kingdom of the Netherlands,PE,Sector Investment and Maintenance Loan,IN,,N,L,Closed,Closed,Holland America Lijn Project,1948-07-01T00:00:00Z,July,1948-08-03T00:00:00Z,2;000;000,2;000;000,0,2;000;000,0,,,http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P037455,,,(Historic)Transportation adjustment!$!100!$!TT,,,,,(Historic)Transportation adjustment;(Historic)Transportation adjustment,Transportation!$!TX,,,,,Transportation;Transportation,!$!0,,,,,,,,,,,,,
P037358,EUROPE AND CENTRAL ASIA,Kingdom of Belgium;Kingdom of Belgium,PE,Sector Investment and Maintenance Loan,IN,,N,L,Closed,Closed,Steel and Power Equipment Project,1949-02-08T00:00:00Z,February,1952-06-01T00:00:00Z,16;000;000,16;000;000,0,16;000;000,0,,,http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P037358,,,(Historic)Industrial adjustment!$!100!$!II,,,,,(Historic)Industrial adjustment;(Historic)Industrial adjustment,(Historic)Industry!$!IX,,,,,(Historic)Industry;(Historic)Industry,!$!0,,,,,,,,,,,,,
P037456,EUROPE AND CENTRAL ASIA,Kingdom of the Netherlands;Kingdom of the Netherlands,PE,Sector Investment and Maintenance Loan,IN,,N,L,Closed,Closed,N. V. Rotterdamsche-lloyd Project,1949-07-06T00:00:00Z,July,1948-08-03T00:00:00Z,4;000;000,4;000;000,0,4;000;000,0,,,http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P037456,,,(Historic)Transportation adjustment!$!100!$!TT,,,,,(Historic)Transportation adjustment;(Historic)Transportation adjustment,Transportation!$!TX,,,,,Transportation;Transportation,!$!0,,,,,,,,,,,,,
P037366,EUROPE AND CENTRAL ASIA,Republic of Finland;Republic of Finland,PE,Sector Investment and Maintenance Loan,IN,,N,L,Closed,Closed,Electric Power and Industrial Project,1949-07-26T00:00:00Z,July,1953-12-31T00:00:00Z,12;500;000,12;500;000,0,12;500;000,0,,,http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P037366,,,(Historic)Industrial adjustment!$!100!$!II,,,,,(Historic)Industrial adjustment;(Historic)Industrial adjustment,(Historic)Industry!$!IX,,,,,(Historic)Industry;(Historic)Industry,!$!0,,,,,,,,,,,,,
